question,answer
"What is the company's Paid Time Off (PTO) policy?","PTO is designed to provide associates with flexible paid time off for needs such as vacation, holidays, personal or family illness, and other activities of the associate's choice."
"How do employees accrue PTO?","Full-time associates accrue PTO semi-monthly based on their length of service. PTO is added to the associate's PTO bank when the semi-monthly paycheck is issued."
"Can employees use PTO before it is accrued?","No, associates may not use PTO hours before they are accrued and reflected in the payroll system."
"What are the guidelines for requesting PTO?","All PTO requests should be submitted through Paycom at least twenty-one days in advance, except for legitimate, unexpected illnesses or emergencies."
"Are there exceptions to the PTO policy?","Yes, associates who miss two or more consecutive unscheduled days may be required to present a doctor’s release. Newly hired associates will begin accruing PTO on their first day but cannot use it during the introductory period."
"What happens if PTO is taken in excess of accrued time?","PTO taken in excess of accrued time can result in progressive disciplinary action, up to and including termination of employment."
"How does the company handle PTO requests during critical business operations?","MD Billing reserves the right to cancel approved PTO if patient safety and care or critical business operations will be impacted by the associate's absence."
"How is PTO affected by unpaid leave?","PTO accruals are adjusted down proportionally for pay periods during which unpaid leave is taken."
"What should associates do if they need to request PTO for an emergency?","Associates must notify their manager at least two hours before the start of their shift, or according to departmental procedures, in emergency circumstances."
"What happens to unused PTO at the end of the employment?","The handbook does not specify, but typically, unused PTO is either paid out or forfeited depending on company policy."
"What is the company's policy on workplace harassment?","MD Billing has a strict policy against all types of workplace harassment, including sexual harassment and other forms of workplace harassment based on protected statuses such as sex, race, religion, etc."
"How does the company define sexual harassment?","Sexual harassment is defined as unwelcome sexual advances, requests for sexual favors, and other verbal or physical conduct of a sexual nature that affects an individual's employment or creates a hostile work environment."
"What are examples of sexual harassment?","Examples include unwelcome requests for sexual favors, lewd comments, sexual innuendo, and any unwanted physical touching."
"How should employees report harassment?","Employees should immediately notify their supervisor and the Human Resources director if they experience or witness any form of harassment."
"What protections are in place against retaliation?","The company prohibits retaliation against any associate who reports or assists in the investigation of any complaint of harassment or discrimination."
